bioproject,biosample,sra,lat_start,lat_end,long_start,long_end,size_low,size_up,nitrate,Chlorophyll,oxy,Salinity,temperature,depth,coor1,coor2,size
PRJEB6609,SAMEA2732005,ERR1719278,35.8605,35.853,-37.178,-37.1667,20,180,0.549453,0.369338,228.899962,36.30285,17.520485,40,latitudeN=35.8605,longitudeE=-37.178,(20-180)
PRJEB6609,SAMEA2730834,ERR1719150,29.7902,29.8064,-79.6437,-79.6631,20,180,0.417502,0.159252,193.294286,36.245586,25.049571,40,latitudeN=29.7902,longitudeE=-79.6437,(20-180)
PRJEB6609,SAMEA2657033,ERR1719491,-60.3046,-60.3118,-60.5715,-60.555,20,180,24.423039,0.109555,338.2982,33.71972,1.84402,5,latitudeN=-60.3046,longitudeE=-60.5715,(20-180)
PRJEB6609,SAMEA2657065,ERR1719319,-32.1745,-32.1725,17.6991,17.6983,20,180,0.517466,1.331539,250.060667,34.849892,12.881967,5,latitudeN=-32.1745,longitudeE=17.6991,(20-180)
PRJEB6609,SAMEA2656959,ERR1719184,-25.8073,-25.8079,-111.7364,-111.7438,180,2000,-1.567491,0.013449,200.538167,36.402683,25.14875,5,latitudeN=-25.8073,longitudeE=-111.7364,(180-2000)
PRJEB6609,SAMEA2657079,ERR1719411,-16.953,-16.9531,53.9825,53.991,20,180,0.244232,0.388691,193.198222,34.899611,24.924556,70,latitudeN=-16.953,longitudeE=53.9825,(20-180)
PRJEB6609,SAMEA2732613,ERR1719288,14.1987,14.1961,-116.7164,-116.7278,20,180,23.099301,0.084359,1.604893,34.737164,12.430182,40,latitudeN=14.1987,longitudeE=-116.7164,(20-180)
PRJEB6609,SAMEA2657009,ERR1719442,-31.0536,-31.0509,4.6742,4.6756,5,20,2.096308,0.545147,234.236,35.690458,16.948525,5,latitudeN=-31.0536,longitudeE=4.6742,(5-20)
PRJEB6609,SAMEA2621052,ERR1719482,-31.027,-31.0136,4.6802,4.6932,0.8,&gt;,99999,0.42458,231.683361,35.687803,16.787411,50,latitudeN=-31.027,longitudeE=4.6802,(0.8-&gt;)
PRJEB6609,SAMEA2620150,ERR1719392,17.4814,17.4822,67.9947,67.8938,3,&gt;,0.273168,0.1026,196.183,36.6427,26.8465,50,latitudeN=17.4814,longitudeE=67.9947,(3-&gt;)
PRJEB6609,SAMEA2620959,ERR1719504,-34.8901,-34.8477,18.0459,18.1136,0.8,5,99999,0.424363,240.4135,35.3315,15.01895,30,latitudeN=-34.8901,longitudeE=18.0459,(0.8-5)
PRJEB6609,SAMEA2656982,ERR1719356,-8.9124,-8.9085,-142.5595,-142.5707,5,20,6.03141,0.124746,187.791167,35.4224,26.869383,5,latitudeN=-8.9124,longitudeE=-142.5595,(5-20)
PRJEB6609,SAMEA2620150,ERR1719450,17.4814,17.4822,67.9947,67.8938,3,&gt;,0.273168,0.1026,196.183,36.6427,26.8465,50,latitudeN=17.4814,longitudeE=67.9947,(3-&gt;)
PRJEB6609,SAMEA2732607,ERR1719394,14.1853,14.1829,-116.6842,-116.6895,5,20,2.693519,0.181498,195.342417,33.867133,26.4741,5,latitudeN=14.1853,longitudeE=-116.6842,(5-20)
PRJEB6609,SAMEA2622343,ERR1719281,2.0299,2.0663,-84.5546,-84.5304,0.8,&gt;,3.886605,0.737378,203.127654,34.344808,26.532035,30,latitudeN=2.0299,longitudeE=-84.5546,(0.8-&gt;)
PRJEB6609,SAMEA2731672,ERR1719239,43.6825,43.6838,-16.8412,-16.8442,180,2000,1.448456,0.334055,242.7569,35.98492,14.25814,5,latitudeN=43.6825,longitudeE=-16.8412,(180-2000)
PRJEB6609,SAMEA2620865,ERR1719261,-35.1728,-35.2087,26.2868,26.2932,0.8,5,99999,0.215292,207.0439,35.44666,21.81684,5,latitudeN=-35.1728,longitudeE=26.2868,(0.8-5)
PRJEB6609,SAMEA2732536,ERR1719469,-62.2024,-62.2093,-49.2382,-49.2285,20,180,30.42205,0.421649,329.042778,34.400828,-0.783906,90,latitudeN=-62.2024,longitudeE=-49.2382,(20-180)
PRJEB6609,SAMEA2622936,ERR1719324,0.0222,0.0328,-153.6858,-153.705,0.8,5,4.36571,0.451256,176.984778,35.135422,26.080233,40,latitudeN=0.0222,longitudeE=-153.6858,(0.8-5)
PRJEB6609,SAMEA2732373,ERR1719363,17.0149,17.0109,-118.9173,-118.9186,5,20,0.038247,0.130872,201.768333,34.5249,24.790392,5,latitudeN=17.0149,longitudeE=-118.9173,(5-20)
PRJEB6609,SAMEA2656998,ERR1719195,-21.0716,-21.0874,-35.3964,-35.412,20,180,0.642162,0.118545,204.831538,36.91025,22.383088,150,latitudeN=-21.0716,longitudeE=-35.3964,(20-180)
PRJEB6609,SAMEA2732658,ERR1719166,6.3199,6.3168,-102.96,-102.9602,20,180,0.055451,0.033622,196.615333,33.342683,26.641475,5,latitudeN=6.3199,longitudeE=-102.96,(20-180)
PRJEB6609,SAMEA2620500,ERR1719408,-21.5043,-21.4603,54.3563,54.3052,0.8,5,0.244232,0.040347,194.6898,34.9008,27.25908,5,latitudeN=-21.5043,longitudeE=54.3563,(0.8-5)
PRJEB6609,SAMEA2657106,ERR1719210,14.6067,14.6047,69.9775,69.9777,20,180,-1.343153,0.020173,187.42925,36.024883,29.089367,5,latitudeN=14.6067,longitudeE=69.9775,(20-180)
PRJEB6609,SAMEA2657072,ERR1719308,-5.2537,-5.254,-85.2221,-85.2248,180,2000,12.415348,0.58042,203.89075,34.806233,25.28045,5,latitudeN=-5.2537,longitudeE=-85.2221,(180-2000)
PRJEB6609,SAMEA2656986,ERR1719381,-9.1508,-9.1515,-140.4969,-140.5155,180,2000,5.053192,0.263712,190.7865,35.384483,26.520483,5,latitudeN=-9.1508,longitudeE=-140.4969,(180-2000)
PRJEB6609,SAMEA2731795,ERR1719170,-1.9778,-1.9667,-84.5992,-84.6001,20,180,6.729337,0.317793,190.816333,35.0193,23.8683,5,latitudeN=-1.9778,longitudeE=-84.5992,(20-180)
PRJEB6609,SAMEA2657023,ERR1719510,-25.8162,-25.8208,-111.7349,-111.7468,20,180,0.178539,0.138077,212.877257,35.874018,20.325407,180,latitudeN=-25.8162,longitudeE=-111.7349,(20-180)
PRJEB6609,SAMEA2623946,ERR1719417,43.7056,43.8047,-16.8794,-16.8887,0.8,&gt;,99999,99999,99999,99999,99999,25,latitudeN=43.7056,longitudeE=-16.8794,(0.8-&gt;)
PRJEB6609,SAMEA2730588,ERR1719423,19.0359,19.0356,64.511,64.5117,180,2000,-0.139576,0.134009,201.211667,36.621025,26.354275,5,latitudeN=19.0359,longitudeE=64.511,(180-2000)
PRJEB6609,SAMEA2732231,ERR1719376,-40.6487,-40.6468,-52.1511,-52.1415,180,2000,-1.556072,0.249708,228.458417,35.6061,19.307392,5,latitudeN=-40.6487,longitudeE=-52.1511,(180-2000)
PRJEB6609,SAMEA2657060,ERR1719374,20.8215,20.8208,63.512,63.5119,180,2000,0.343943,0.160363,211.5675,36.530908,25.84865,5,latitudeN=20.8215,longitudeE=63.512,(180-2000)
PRJEB6609,SAMEA2656973,ERR1719401,-12.9488,-12.9453,-96.0293,-96.1326,5,20,4.590737,0.287892,200.233917,35.835267,25.2512,5,latitudeN=-12.9488,longitudeE=-96.0293,(5-20)
PRJEB6609,SAMEA2623685,ERR1719409,34.6712,34.8341,-71.3093,-71.204,0.8,5,0.859819,0.12799,214.365,36.4626,19.1288,5,latitudeN=34.6712,longitudeE=-71.3093,(0.8-5)
PRJEB6609,SAMEA2623901,ERR1719353,43.6792,43.6906,-16.8344,-16.8555,0.8,5,2.999226,0.238225,243.148,35.986042,14.28065,5,latitudeN=43.6792,longitudeE=-16.8344,(0.8-5)
PRJEB6609,SAMEA2657092,ERR1719232,-5.2514,-5.2512,-85.1696,-85.1718,20,180,11.688971,0.238224,205.992583,34.748175,24.943108,5,latitudeN=-5.2514,longitudeE=-85.1696,(20-180)
PRJEB6609,SAMEA2657047,ERR1719283,-16.9567,-16.9581,53.9809,53.9767,180,2000,99999,0.176565,191.68,34.566667,27.8684,5,latitudeN=-16.9567,longitudeE=53.9809,(180-2000)
PRJEB6609,SAMEA2656980,ERR1719211,-16.9763,-16.9785,-100.6794,-100.6915,20,180,2.410016,0.373279,211.719429,35.746607,20.445864,90,latitudeN=-16.9763,longitudeE=-100.6794,(20-180)
PRJEB6609,SAMEA2622106,ERR1719388,-13.0023,-12.9488,-95.9759,-96.0293,0.8,5,4.590737,0.287892,200.233917,35.835267,25.2512,5,latitudeN=-13.0023,longitudeE=-95.9759,(0.8-5)
