station,lat,long,Gym,euk,all,cpm1,cpm2,depth,log
ERR1756082,29.7812,-79.6299,67,179652,190397,372.9432458,351.8963009,5,8.542812289
ERR1879738,32.9701,-66.5548,144,220855,411913,652.0115008,349.588384,5,9.348753602
ERR1879683,25.5264,-88.394,71,203797,207091,348.3858938,342.84445,5,8.4445424
ERR562499,-9.006,-139.206,351,904236,1024399,388.1729991,342.6399284,5,8.600555959
ERR1756325,11.2521,-152.4543,273,739673,814803,369.0820133,335.0503128,5,8.527797621
ERR562592,34.453,14.9538,193,577783,580041,334.0354424,332.7350998,5,8.383857376
ERR1756157,6.8381,-153.1058,74,187094,222470,395.523106,332.6291185,5,8.627618168
ERR1756244,-21.4752,54.3236,77,213186,234370,361.1869447,328.5403422,5,8.496601937
ERR1755964,6.8381,-153.1058,48,129172,151334,371.5975598,317.1792195,5,8.537597218
ERR562416,-21.0716,-35.3964,255,669056,808478,381.1340157,315.4074693,150,8.574154562
ERR562463,19.0235,64.5256,109,204854,346653,532.0862663,314.4354729,25,9.055516356
ERR562469,33.9189,32.8532,195,510264,628389,382.1551197,310.3173353,70,8.578014548
ERR1759718,-34.0614,-73.1066,18,58815,60163,306.0443764,299.1872081,5,8.257597048
ERR562582,42.1735,17.7252,225,745741,764092,301.7133294,294.4671584,55,8.237034625
ERR1756059,-44.5582,-52.2718,32,92235,114852,346.9398818,278.6194407,35,8.438541882
ERR1756276,22.7091,-158.0247,235,499452,845285,470.5156852,278.0127413,5,8.878099007
ERR1755891,0.1069,-84.6236,247,710978,904134,347.4087806,273.1895936,50,8.440490408
ERR1755952,-31.4424,-93.9597,11,34427,40326,319.5166584,272.7768685,5,8.31974734
ERR562408,-20.9514,-35.2273,252,773603,930289,325.7484782,270.8835641,5,8.347614629
ERR1756067,-23.1571,-135.031,108,301788,402844,357.867112,268.0938527,5,8.483280156
ERR1756159,-23.1594,-134.9238,65,204507,245980,317.8375312,264.2491259,5,8.312145682
ERR1756039,-23.2318,-134.9279,106,328090,404550,323.0820811,262.0195279,5,8.335756927
ERR562508,-16.9763,-100.6794,202,643603,774609,313.8580771,260.7767274,90,8.293968527
ERR1756001,0.008,-153.7022,249,897786,973490,277.3489451,255.7807476,5,8.115558428
ERR1759712,-54.3739,-65.1342,129,451361,510768,285.8022736,252.5608495,5,8.158873583
ERR1756055,33.0007,-121.8701,27,93734,107558,288.0491604,251.0273527,5,8.170171242
ERR562412,0.0023,71.6311,221,820802,887479,269.2488566,249.0199768,5,8.072796408
ERR562730,-5.2686,-85.248,58,203820,234747,284.5648121,247.07451,40,8.152613466
ERR562487,-16.953,53.9825,104,307690,425161,338.002535,244.6132171,70,8.400890256
ERR562459,-16.9581,-100.6588,186,712963,788319,260.8831033,235.9450933,5,8.027259697
ERR562587,6.0001,73.8955,430,1766748,1830427,243.3850215,234.9178634,5,7.927096574
ERR1756294,9.8432,-80.0621,93,353283,402104,263.2450472,231.2834491,5,8.040262578
ERR1756076,22.7384,-158.0715,112,402841,542171,278.0253251,206.5768918,110,8.119072493
ERR1756195,-1.9778,-84.5992,133,577435,661076,230.3289548,201.1871555,5,7.847551974
ERR562597,-25.8162,-111.7349,68,313400,397885,216.9751117,170.9036531,180,7.761385756
ERR562505,-20.3943,-3.2085,184,856616,1130692,214.7986963,162.7322029,5,7.746841427
ERR1879835,-54.3739,-65.1342,23,129555,142547,177.5307784,161.3502915,5,7.471925355
ERR562537,-35.1728,26.2868,181,890323,1158191,203.2970057,156.2781959,5,7.667445156
ERR562562,38.4735,20.1718,108,527975,733425,204.5551399,147.2543205,5,7.676345978
ERR562573,34.4933,14.9133,111,674228,757066,164.6327355,146.6186568,5,7.363107419
ERR1756225,35.8605,-37.178,59,282736,405882,208.6752306,145.3624452,40,7.705115555
ERR562635,-8.8946,-142.5944,77,455671,554581,168.9815678,138.8435594,140,7.400722078
ERR562623,14.5536,70.0128,181,874392,1308466,207.000979,138.3299222,60,7.693493781
ERR562393,14.6059,69.9776,90,592499,675442,151.8989905,133.2460818,5,7.246968472
ERR1756150,17.0552,-118.9008,11,90578,97290,121.4422928,113.0640354,5,6.924127124
ERR1755936,34.0639,-49.844,24,178284,220637,134.616679,108.7759533,5,7.072713361
ERR1756245,35.3915,-127.7775,10,81645,93286,122.4814747,107.1972214,45,6.936419748
ERR562621,-8.894,-142.631,53,372064,501510,142.448611,105.6808439,5,7.154297744
ERR562407,-29.4985,37.9926,25,218167,267522,114.591116,93.4502583,5,6.840351389
ERR1755925,36.3385,-72.7366,45,580471,693339,77.52325267,64.90331569,5,6.276557199
ERR562376,-47.1966,-58.2349,38,406862,636453,93.3977614,59.7059013,5,6.545316066
ERR1879925,17.4831,68.0026,32,531623,536883,60.19303153,59.60330277,105,5.911524573
ERR562648,-31.0551,4.668,63,749622,1114369,84.04235735,56.53423597,5,6.393044724
ERR1755916,32.9997,-66.5655,21,318640,535494,65.90509666,39.21612567,5,6.042318133
ERR562433,-25.826,-111.7294,39,2353310,2433460,16.57240228,16.026563,188,4.050710841
ERR562606,18.5918,66.622,30,3465054,3465615,8.65787373,8.656472228,5,3.11401276
ERR1755881,-34.0614,-73.1066,0,51241,69382,0,0,5,0
ERR1755884,34.7942,-71.2229,0,216207,364813,0,0,5,0
ERR1755888,37.5152,17.3171,0,94086,110892,0,0,5,0
ERR1755901,36.15,-28.9989,0,188381,235024,0,0,5,0
ERR1755904,35.8913,-37.2369,0,243460,331183,0,0,5,0
ERR1755967,11.2521,-152.4543,0,18062,19283,0,0,5,0
ERR1756012,25.5877,-88.4275,0,52130,58968,0,0,5,0
ERR1756030,-9.28,-9.6193,0,81718,86681,0,0,5,0
ERR1756053,-57.7739,-66.9698,0,67254,93114,0,0,5,0
